公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
002118,紫鑫药业,吉林紫鑫药业股份有限公司,"Jilin Zixin Pharmaceutical Industrial Co., Ltd.",吉林省通化市柳河县英利路88号,002118,紫鑫药业,2007-03-02,"1,280,759,826","1,025,431,814",,,,0,0,东北,吉林,通化市,C 制造业,www.jilinzixin.com.cn
002119,康强电子,宁波康强电子股份有限公司,"Ningbo Kangqiang Electronics Co., Ltd.",浙江省宁波市鄞州投资创业中心金源路988号,002119,康强电子,2007-03-02,"206,200,000","201,925,000",,,,0,0,华东,浙江,宁波市,C 制造业,www.kangqiang.com
002120,新海股份,宁波新海电气股份有限公司,"NINGBO XINHAI ELECTRIC CO., LTD",浙江省慈溪市崇寿镇永清南路8号,002120,新海股份,2007-03-06,"150,280,000","98,479,537",,,,0,0,华东,浙江,宁波市,C 制造业,www.xinhaigroup.com
002121,科陆电子,深圳市科陆电子科技股份有限公司,"SHENZHEN CLOU ELECTRONICS CO.,LTD.",广东省深圳市南山区科技园北区宝深路科陆大厦A座13-24楼,002121,科陆电子,2007-03-06,"1,192,210,000","697,786,443",,,,0,0,华南,广东,深圳市,C 制造业,www.szclou.com
002122,天马股份,天马轴承集团股份有限公司,"TIANMA BEARING GROUP CO., LTD.",浙江省杭州市拱墅区石祥路202号,002122,天马股份,2007-03-28,"1,188,000,000","1,091,913,484",,,,0,0,华东,浙江,杭州市,C 制造业,www.zjtmb.com
002123,梦网荣信,梦网荣信科技集团股份有限公司,"MONTNETS RONGXIN TECHNOLOGY GROUP CO.,LTD",辽宁省鞍山市铁东区科技路108号,002123,梦网荣信,2007-03-28,"861,595,025","601,262,280",,,,0,0,东北,辽宁,鞍山市,I 信息技术,www.rxpe.com
002124,天邦股份,宁波天邦股份有限公司,"Ningbo Tech-bank Co.,Ltd.",浙江省余姚市玉立路55号阳光国际大厦A座1805-1807,002124,天邦股份,2007-04-03,"636,679,870","348,061,900",,,,0,0,华东,浙江,宁波市,C 制造业,www.tianbang.com
002125,湘潭电化,湘潭电化科技股份有限公司,"XIANGTAN ELECTROCHEMICAL SCIENTIFIC CO.,LTD.",湖南省湘潭市雨湖区鹤岭镇,002125,湘潭电化,2007-04-03,"345,599,985","222,608,985",,,,0,0,华中,湖南,湘潭市,C 制造业,www.chinaemd.com
002126,银轮股份,浙江银轮机械股份有限公司,"Zhejiang Yinlun Machinery Co., LTD.",浙江省天台县福溪街道始丰东路8号,002126,银轮股份,2007-04-18,"721,080,000","608,166,462",,,,0,0,华东,浙江,台州市,C 制造业,www.yinlun.com
002127,南极电商,南极电商股份有限公司,"NanJi E-Commerce Co., LTD",江苏省吴江市盛泽镇五龙路22号,002127,南极电商,2007-04-18,"1,538,259,532","892,917,804",,,,0,0,华东,江苏,苏州市,L 商务服务,www.xmtex.com
002128,露天煤业,内蒙古霍林河露天煤业股份有限公司,HUOLINHE OPENCUT COAL INDUSTRY CORPORATION LIMITED OF  INNER  MONGOLIA,内蒙古自治区霍林郭勒市哲里木大街（霍矿珠斯花区）,002128,露天煤业,2007-04-18,"1,634,378,473","1,588,220,839",,,,0,0,华北,内蒙古,通辽市,B 采矿业,www.zdhm.com.cn
002129,中环股份,天津中环半导体股份有限公司,"TIANJIN  ZHONGHUAN  SEMICONDUCTOR  CO., LTD.",天津市新技术产业园区华苑产业区（环外）海泰东路12号,002129,中环股份,2007-04-20,"2,644,236,466","2,296,260,159",,,,0,0,华北,天津,天津市,C 制造业,www.tjsemi.com
002130,沃尔核材,深圳市沃尔核材股份有限公司,"SHENZHEN WOER HEAT-SHRINKABLE MATERIAL CO.,LTD",广东省深圳市坪山新区兰景北路沃尔工业园,002130,沃尔核材,2007-04-20,"626,229,531","432,287,785",,,,0,0,华南,广东,深圳市,C 制造业,www.woer.com
002131,利欧股份,利欧集团股份有限公司,"LEO GROUP CO.,LTD.",浙江省温岭市滨海镇利欧路1号,002131,利欧股份,2007-04-27,"1,606,698,532","686,702,932",,,,0,0,华东,浙江,台州市,I 信息技术,www.chinapumps.com
002132,恒星科技,河南恒星科技股份有限公司,"Henan  Hengxing  Science & Technology  CO.,LTD.",河南省巩义市康店镇焦湾村,002132,恒星科技,2007-04-27,"1,256,774,426","602,440,599",,,,0,0,华中,河南,郑州市,C 制造业,www.hengxingchinese.com
002133,广宇集团,广宇集团股份有限公司,"Cosmos Group Co.,Ltd.",浙江省杭州市平海路8号,002133,广宇集团,2007-04-27,"774,144,175","601,504,601",,,,0,0,华东,浙江,杭州市,K 房地产,www.cosmosgroup.com.cn
002134,天津普林,天津普林电路股份有限公司,TIANJIN PRINTRONICS CIRCUIT CORPORATION,天津市空港经济区航海路53号,002134,天津普林,2007-05-16,"245,849,768","245,849,768",,,,0,0,华北,天津,天津市,C 制造业,www.toppcb.com
